,restaurantID,name,location,reviewCount,rating,categories,address,Hours,GoodforKids,AcceptsCreditCards,Parking,Attire,GoodforGroups,PriceRange,TakesReservations,Delivery,Takeout,WaiterService,OutdoorSeating,WiFi,GoodFor,Alcohol,NoiseLevel,Ambience,HasTV,Caters,WheelchairAccessible,webSite,phoneNumber,filReviewCount
10,F7IQngaDDBgYvhA3U31q-g,Irazu Costa Rican Restaurant & Catering,"Irazu Costa Rican Restaurant & Catering - Bucktown - Chicago, IL",947,4.0,"Restaurants, Latin American, Vegetarian, Event Planning & Services, Caterers","1865 N Milwaukee Ave (between Moffat St & Oakley Ave) Chicago, IL 60647 Neighborhood: Bucktown",Mon-Sat 11:30 am - 9:30 pm,Yes,No,Street,Casual,Yes,$$,No,Yes,Yes,Yes,Yes,No,Dinner,No,Average,Casual,No,Yes,Yes,http://www.irazuchicago.com,(773) 252-5687,109
11,DXwSYgiXqIVNdO9dazel6w,Pequod's Pizzeria,"Pequod's Pizzeria - DePaul - Chicago, IL",1157,4.0,"Restaurants, Pizza","2207 N Clybourn Ave (between Webster Ave & Greenview Ave) Chicago, IL 60614 Neighborhood: DePaul",Mon-Sat 11 am - 2 am Sun 11 am - 12 am,Yes,Yes,Street,Casual,Yes,$$,Yes,Yes,Yes,Yes,No,No,Dinner,Full Bar,Average,Casual,Yes,Yes,Yes,http://www.pequodspizza.com,(773) 327-1512,120
12,o54U2VkQama8FI30qDkWvw,The Chicago Diner,"The Chicago Diner - Lakeview - Chicago, IL",1098,4.0,"Restaurants, Vegetarian, Vegan","3411 N Halsted St (between Roscoe St & Newport Ave) Chicago, IL 60657 Neighborhood: Lakeview",Mon-Thu 11 am - 10 pm Fri 11 am - 10:30 pm Sat 10 am - 10:30 pm Sun 10 am - 10 pm,Yes,Yes,Street,Casual,No,$$,No,No,Yes,Yes,Yes,No,"Lunch, Dinner",Beer & Wine Only,Average,Casual,No,Yes,No,http://www.veggiediner.com,(773) 935-6696,146
13,O6uWHgJzylSjWjPSJKGhnQ,Sultan's Market,"Sultan's Market - Wicker Park - Chicago, IL",880,4.0,"Restaurants, Middle Eastern, Mediterranean","2057 W North Ave (at Hoyne Ave) Chicago, IL 60647 Neighborhood: Wicker Park",Mon-Sat 10 am - 10 pm Sun 10 am - 9 pm,Yes,No,Street,Casual,Yes,$,No,Yes,Yes,No,Yes,No,"Lunch, Dinner",No,Average,"Hipster, Casual",No,Yes,Yes,http://www.chicagofalafel.com,(773) 235-3072,116
14,dKcO9OQ44RPRlkWe-vToFA,Shaw's Crab House,"Shaw's Crab House - Near North Side - Chicago, IL",574,4.0,"Restaurants, Seafood, Sushi Bars, Arts & Entertainment, Jazz & Blues, Nightlife","21 E Hubbard St (between State St & Wabash Ave) Chicago, IL 60611 Neighborhood: Near North Side",Mon-Fri 11:30 am - 2 pm Mon-Thu 5:30 pm - 10 pm Fri-Sat 5 pm - 12 am Sun 10 am - 1:30 pm Sun 5 pm - 10 pm,No,Yes,Valet,Casual,Yes,$$$,Yes,No,Yes,Yes,No,Free,Dinner,Full Bar,Average,Classy,Yes,No,Yes,http://www.shawscrabhouse.com,(312) 527-2722,118
15,tCkwBTuEFvhuaBoEUWqbuQ,Meli Cafe & Juice Bar,"Meli Cafe & Juice Bar - Greektown - Chicago, IL",541,4.0,"Food, Juice Bars & Smoothies, Restaurants, Breakfast & Brunch","301 S Halsted St Chicago, IL 60607 Neighborhoods: Greektown, Near West Side, West Loop",Mon-Sun 6 am - 3 pm,Yes,Yes,Street,Casual,Yes,$$,No,No,Yes,Yes,No,No,Breakfast,No,Average,Casual,No,No,Yes,http://www.melicafe.com,(312) 454-0748,62
16,sR4EOfPuI-at41uIxIZPhw,Hopleaf Bar,"Hopleaf Bar - Andersonville - Chicago, IL",1182,4.0,"Restaurants, American (New), Gastropubs","5148 N Clark St (between United States Highway 41 & Winona St) Chicago, IL 60640 Neighborhoods: Andersonville, Ravenswood, Uptown","Mon-Fri, Sun 3 pm - 2 am Sat 3 pm - 3 am",No,Yes,Street,Casual,Yes,$$,No,No,Yes,Yes,Yes,No,Dinner,Full Bar,Very Loud,Casual,No,No,Yes,http://www.hopleaf.com,(773) 334-9851,125
17,m5_GCJP2W4zEJnyVgxa3eA,Longman & Eagle,"Longman & Eagle - Logan Square - Chicago, IL",956,4.0,"Restaurants, Gastropubs","2657 N Kedzie Ave (between Milwaukee Ave & Schubert Ave) Chicago, IL 60647 Neighborhood: Logan Square","Mon-Fri, Sun 9 am - 2 am Sat 9 am - 3 am",No,Yes,"Garage, Street",Casual,No,$$,No,No,Yes,Yes,Yes,No,Dinner,Full Bar,Average,Hipster,No,No,Yes,http://www.longmanandeagle.com,(773) 276-7110,89
18,q-_jW5lauONk_58S-wVIrg,Bonsoiree,"Bonsoiree - Logan Square - Chicago, IL",392,4.0,"Restaurants, American (New), French","2728 W Armitage Ave (between Washtenaw Ave & Fairfield Ave) Chicago, IL 60647 Neighborhoods: Logan Square, Bucktown",Tue-Sat 5 pm - 10 pm Sun 4 pm - 9 pm,No,Yes,Street,Casual,No,$$$$,Yes,No,Yes,Yes,Yes,No,Dinner,No,Quiet,"Romantic, Trendy, Intimate",No,Yes,Yes,http://www.bon-soiree.com,(773) 486-7511,52
19,sDYjKyI_67eUhFAqVneYjA,Gilt Bar,"Gilt Bar - Near North Side - Chicago, IL",572,4.0,"Restaurants, American (New), Nightlife, Bars, Lounges","230 W Kinzie St Chicago, IL 60654 Neighborhoods: Near North Side, River North","Mon-Wed, Sun 4:30 pm - 12 am Thu-Fri 4:30 pm - 2 am Sat 5:30 pm - 2 am",No,Yes,"Garage, Street, Valet",Casual,Yes,$$$,Yes,No,No,Yes,Yes,No,Dinner,Full Bar,Loud,Trendy,No,No,Yes,http://www.giltbarchicago.com,(312) 464-9544,62
20,CQ75CQSyrsmb-S3UAwCHpw,Wildfire,"Wildfire - Near North Side - Chicago, IL",493,4.0,"Restaurants, American (Traditional), Steakhouses","159 W Erie St Chicago, IL 60654 Neighborhoods: Near North Side, River North",Mon-Thu 5 pm - 10 pm Fri 5 pm - 11 pm Sat 4 pm - 11 pm Sun 4 pm - 9 pm,No,Yes,"Street, Valet",Casual,Yes,$$$,Yes,Yes,Yes,Yes,No,Free,Dinner,Full Bar,Average,Classy,Yes,Yes,Yes,http://www.wildfirerestaurant.com/…,(312) 787-9000,62
21,euO3-H92LCivH2B0CQPlnw,Chicago q,"Chicago q - Near North Side - Chicago, IL",543,4.0,"Restaurants, Barbeque","1160 N Dearborn St (between Elm St & Division St) Chicago, IL 60610 Neighborhood: Near North Side","Mon-Thu, Sun 11 am - 10:30 pm Fri-Sat 11 am - 12 am",No,Yes,"Street, Valet",Casual,Yes,$$,Yes,No,Yes,Yes,No,No,Dinner,Full Bar,Average,"Trendy, Casual",Yes,Yes,Yes,http://chicagoqrestaurant.com,(312) 642-1160,51
22,43rd1LKcZRIunySzbMsyLQ,Fogo de Chao,"Fogo de Chao - Near North Side - Chicago, IL",693,4.5,"Restaurants, Brazilian, Steakhouses","661 N La Salle St (between Erie St & Huron St) Chicago, IL 60610 Neighborhoods: Near North Side, River North",Mon-Fri 11 am - 2 pm Mon-Thu 5 pm - 10 pm Fri 5 pm - 10:30 pm Sat 4 pm - 10:30 pm Sun 4 pm - 9:30 pm,No,Yes,Valet,Casual,Yes,$$$,Yes,No,No,Yes,No,No,Dinner,Full Bar,Average,Classy,No,No,Yes,http://www.fogodechao.com/,(312) 932-9330,167
23,8j97C2qR95tvpbGtoFxEAw,Noon O Kabab,"Noon O Kabab - Albany Park - Chicago, IL",337,4.0,"Restaurants, Middle Eastern","4661 N Kedzie Ave (between Eastwood Ave & Leland Ave) Chicago, IL 60625 Neighborhood: Albany Park",Mon-Thu 11 am - 10 pm Fri-Sat 11 am - 11 pm Sun 11 am - 9 pm,Yes,Yes,Street,Casual,Yes,$$,No,Yes,Yes,Yes,No,No,Dinner,Full Bar,Average,Casual,No,Yes,Yes,http://www.noonokabab.com,(773) 279-9309,76
24,eHtnZ0ISo63_0zr9rFotjw,Sprout,"Sprout - Lincoln Park - Chicago, IL",267,4.0,"Restaurants, French, American (New)","1417 Fullerton Ave (between Southport Ave & Janssen Ave) Chicago, IL 60614 Neighborhoods: Lincoln Park, DePaul",Tue-Thu 5:30 pm - 10 pm Fri-Sat 5:30 pm - 11 pm Sun 10:30 am - 2:30 pm,No,Yes,Street,Dressy,Yes,$$$$,Yes,No,No,Yes,Yes,No,Dinner,Full Bar,Average,"Romantic, Classy, Trendy, Upscale",No,No,Yes,http://www.sproutrestaurant.com/,(773) 348-0706,50
25,JMa9cTNQA5mm4GbR2W8Oiw,Piccolo Sogno,"Piccolo Sogno - River West - Chicago, IL",481,4.0,"Restaurants, Italian","464 N Halsted St Chicago, IL 60642 Neighborhoods: River West, Near West Side",Mon-Fri 11:30 am - 2:30 pm Mon-Thu 5:30 pm - 10:30 pm Fri-Sat 5:30 pm - 11 pm Sun 5 pm - 10 pm,No,Yes,Valet,Dressy,Yes,$$$,Yes,No,Yes,Yes,Yes,No,Dinner,Full Bar,Average,"Romantic, Classy",No,Yes,Yes,http://piccolosognorestaurant.com/,(312) 421-0077,77
26,_b69OdBNLhysN1jFlYNQiA,The Bongo Room,"The Bongo Room - Wicker Park - Chicago, IL",769,4.0,"Restaurants, American (New), Breakfast & Brunch","1470 N Milwaukee Ave (between Evergreen Ave & Honore St) Chicago, IL 60622 Neighborhood: Wicker Park",Mon-Fri 7:30 am - 2:30 pm Sat-Sun 9 am - 2 pm,Yes,Yes,Street,Casual,No,$$,No,No,Yes,Yes,No,No,"Breakfast, Brunch",Full Bar,Average,"Hipster, Casual",No,No,Yes,http://thebongoroom.com,(773) 489-0690,88
27,WaIbupMGDBi5B3SChsUH8A,Cafe 28,"Cafe 28 - Lakeview - Chicago, IL",606,4.0,"Restaurants, Mexican, Latin American","1800 W Irving Park Rd (at Ravenswood Ave) Chicago, IL 60613 Neighborhood: Lakeview",Tue-Thu 5:30 pm - 10 pm Thu-Fri 11 am - 2 pm Fri-Sat 5:30 pm - 10:30 pm Sat-Sun 10 am - 2 pm Sun 5:30 pm - 9 pm,No,Yes,Street,Casual,Yes,$$,Yes,No,Yes,Yes,Yes,No,Dinner,Full Bar,Average,"Romantic, Casual",No,Yes,Yes,http://www.cafe28.org,(773) 528-2883,63
28,50gFzdVglOz88eFJ6v-26A,Glenn's Diner,"Glenn's Diner - North Center - Chicago, IL",667,4.0,"Restaurants, Diners, Seafood","1820 W Montrose Ave (between Honore St & Ravenswood Ave) Chicago, IL 60613 Neighborhoods: North Center, Ravenswood, Lakeview",Mon-Fri 11 am - 10 pm Sat 9 am - 10 pm Sun 9 am - 9 pm,Yes,Yes,Street,Casual,Yes,$$,Yes,No,Yes,Yes,Yes,No,"Dinner, Breakfast",Full Bar,Average,Casual,No,No,Yes,http://www.glennsdiner.com,(773) 506-1720,83
29,0-rkPnrTODt_veJ_nMVT_w,Sabatino's Restaurant & Lounge,"Sabatino's Restaurant & Lounge - Irving Park - Chicago, IL",274,4.0,"Restaurants, Italian","4441 W Irving Park Rd (between Kostner Ave & Kenneth Ave) Chicago, IL 60641 Neighborhood: Irving Park",,Yes,Yes,Valet,Casual,Yes,$$,Yes,No,Yes,Yes,No,No,Dinner,Full Bar,Average,Romantic,Yes,Yes,Yes,http://www.sabatinoschicago.com/,(773) 283-8331,64
30,oLM9piDKbj2PDgy-m3XEcQ,Calo Ristorante,"Calo Ristorante - Andersonville - Chicago, IL",425,4.0,"Restaurants, Pizza, Italian, Food, Beer, Wine & Spirits","5343 N Clark St (between Balmoral Ave & Summerdale Ave) Chicago, IL 60640 Neighborhoods: Andersonville, Edgewater",Mon-Thu 11 am - 1 am Fri-Sat 11 am - 2 am Sun 2 pm - 12 am,Yes,Yes,"Street, Private Lot",Casual,Yes,$$,Yes,Yes,Yes,Yes,No,No,Dinner,Full Bar,Average,"Romantic, Casual",Yes,Yes,Yes,http://www.calorestaurant.com/,(773) 271-7725,94
31,dLS8GPg-K1O-zJ3VJAtiyg,India House Restaurant,"India House Restaurant - Near North Side - Chicago, IL",596,4.0,"Restaurants, Indian","59 W Grand Ave (between Dearborn St & Clark St) Chicago, IL 60610 Neighborhood: Near North Side","Mon-Fri 11 am - 2:30 pm Mon-Thu, Sun 5 pm - 10 pm Fri-Sat 5 pm - 11 pm Sat-Sun 11 am - 3 pm",Yes,Yes,Street,Casual,Yes,$$,Yes,Yes,Yes,Yes,No,No,"Lunch, Dinner",Full Bar,Average,Classy,No,Yes,Yes,http://www.indiahousechicago.com,(312) 645-9500,68
32,NGfbRjWoqUh2fGw8DU_pmA,Caro Mio,"Caro Mio - Lincoln Square - Chicago, IL",327,4.0,"Restaurants, Italian","1825 W Wilson Ave (at Wolcott Ave) Chicago, IL 60640 Neighborhoods: Lincoln Square, Ravenswood",Mon-Thu 4 pm - 10 pm Fri-Sat 4 pm - 11 pm Sun 3 pm - 9 pm,No,Yes,Street,Casual,Yes,$$,Yes,No,Yes,Yes,No,No,Dinner,No,Average,"Romantic, Casual, Intimate",No,No,Yes,http://www.caromiochicago.com,(773) 275-5000,65
33,vvhfPV-Llkd4fE2SHuLVvA,The Gage,"The Gage - The Loop - Chicago, IL",883,4.0,"Restaurants, Gastropubs, American (New)","24 S Michigan Ave (between Madison St & Monroe St) Chicago, IL 60603 Neighborhood: The Loop",Mon-Wed 11 am - 10 pm Thu-Fri 11 am - 11 pm Sat 10 am - 11 pm Sun 10 am - 10 pm,No,Yes,"Garage, Street, Valet",Casual,Yes,$$$,Yes,No,Yes,Yes,Yes,No,Dinner,Full Bar,Average,Classy,Yes,No,Yes,http://www.thegagechicago.com,(312) 372-4243,79
34,FCcgXODBs6O7MGH3VZNyLQ,Superdawg Drive-In,"Superdawg Drive-In - Norwood Park - Chicago, IL",692,4.0,"Restaurants, Hot Dogs, Burgers","6363 N Milwaukee Ave (between Highland Ave & Nagle Ave) Chicago, IL 60646 Neighborhood: Norwood Park","Mon-Thu, Sun 11 am - 1 am Fri-Sat 11 am - 2 am",Yes,Yes,Private Lot,Casual,Yes,$,No,No,Yes,Yes,Yes,No,"Lunch, Dinner",No,Average,Casual,No,Yes,Yes,http://www.superdawg.com,(773) 763-0660,111
35,Rlg07N7Sl1qTzjc7zc6Whg,Icosium Kafé,"Icosium Kafé - Andersonville - Chicago, IL",343,4.0,"Restaurants, Creperies, Breakfast & Brunch, Mediterranean","5200 N Clark St (between United States Highway 41 & Farragut Ave) Chicago, IL 60640 Neighborhoods: Andersonville, Uptown",Mon-Thu 9 am - 9 pm Fri 9 am - 10 pm Sat 8 am - 10 pm Sun 8 am - 9 pm,Yes,Yes,Street,Casual,Yes,$$,No,No,Yes,Yes,No,No,Lunch,No,Average,"Casual, Intimate",No,No,Yes,http://icosiumkafechicago.com,(773) 271-5233,50
36,UQ3cGi3GdBljE3i2_qLcBQ,Artopolis,"Artopolis - Greektown - Chicago, IL",355,4.0,"Food, Bakeries, Restaurants, Greek, Arts & Entertainment, Wineries","306 S Halsted St (between Gladys Ave & Jackson Blvd) Chicago, IL 60661 Neighborhoods: Greektown, Near West Side, West Loop",Mon-Thu 8:30 am - 12 am Fri-Sat 8:30 am - 1 am Sun 9 am - 12 am,Yes,Yes,Street,Casual,Yes,$$,No,No,Yes,Yes,No,No,"Dessert, Lunch",Full Bar,Average,Casual,Yes,Yes,Yes,http://www.artopolischicago.com,(312) 559-9000,50
37,N7juvW8YoFIj7sEBzVF8GQ,Simply It,"Simply It - Lincoln Park - Chicago, IL",311,4.0,"Restaurants, Vietnamese, Soup, Sandwiches","2269 N Lincoln Ave (between Belden Ave & Geneva Ter) Chicago, IL 60614 Neighborhood: Lincoln Park",Mon 5 pm - 10 pm Tue-Thu 11 am - 10 pm Fri-Sat 11 am - 11 pm Sun 12 pm - 10 pm,Yes,Yes,Street,Casual,Yes,$$,Yes,Yes,Yes,Yes,No,No,Dinner,No,Average,Casual,No,Yes,Yes,http://www.simplyitrestaurant.com,(773) 248-0884,241
38,AqgG-1aD6JYj9D6OmBWO3w,Frontera Grill,"Frontera Grill - Near North Side - Chicago, IL",1034,4.0,"Restaurants, Mexican","445 N Clark St Chicago, IL 60654 Neighborhood: Near North Side",Tue-Fri 11:30 am - 2:30 pm Tue 5:30 pm - 10 pm Wed-Thu 5 pm - 10 pm Fri-Sat 5 pm - 11 pm Sat 10:30 am - 2 pm,No,Yes,"Street, Valet",Casual,Yes,$$$,Yes,No,No,Yes,Yes,No,Dinner,Full Bar,Average,Casual,No,No,Yes,http://www.rickbayless.com/restaur…,(312) 661-1434,120
39,Pcg4FtfbvSMMwrYuE1yVjQ,Mastro's Steakhouse,"Mastro's Steakhouse - Near North Side - Chicago, IL",318,4.0,"Restaurants, Steakhouses","520 N Dearborn St Chicago, IL 60654 Neighborhood: Near North Side",Mon-Sun 5 pm - 12 am,No,Yes,Valet,Dressy,Yes,$$$$,Yes,No,No,Yes,No,No,Dinner,Full Bar,Average,"Classy, Upscale",Yes,No,Yes,http://www.mastrosrestaurants.com,(312) 521-5100,65
40,IvdOI86_CSCRFpid2atnyA,Davanti Enoteca,"Davanti Enoteca - University Village - Chicago, IL",578,4.0,"Restaurants, Italian","1359 W Taylor St (between Ada St & Loomis St) Chicago, IL 60607 Neighborhood: University Village",Mon-Thu 11:30 am - 11 pm Fri-Sat 11:30 am - 12 am Sun 11:30 am - 10 pm,No,Yes,Street,Casual,Yes,$$,No,No,Yes,Yes,No,No,Dinner,Full Bar,Average,"Romantic, Trendy, Casual",No,No,No,http://www.davantichicago.com,(312) 226-5550,55
41,LYppbvgJlBG0SqjSKFiFGg,Sapori Trattoria,"Sapori Trattoria - Lincoln Park - Chicago, IL",574,4.5,"Restaurants, Italian","2701 N Halsted St (between Diversey Pky & Schubert Ave) Chicago, IL 60614 Neighborhood: Lincoln Park",Mon-Thu 4:30 pm - 10 pm Fri 4:30 pm - 11 pm Sat 4 pm - 11 pm Sun 3 pm - 10 pm,No,Yes,Street,Casual,Yes,$$,Yes,No,Yes,Yes,Yes,No,Dinner,Full Bar,Average,Romantic,No,Yes,Yes,http://www.saporitrattoria.net,(773) 832-9999,91
42,0fFLUKl71vv3eNV2xhikEw,Spacca Napoli,"Spacca Napoli - Ravenswood - Chicago, IL",656,4.0,"Restaurants, Pizza","1769 W Sunnyside Ave (between Hermitage Ave & Ravenswood Ave) Chicago, IL 60640 Neighborhood: Ravenswood",Tue-Thu 5 pm - 9 pm Wed-Fri 11:30 am - 3 pm Fri 5 pm - 10 pm Sat 11:30 am - 10 pm Sun 12 pm - 9 pm,Yes,Yes,Street,Casual,Yes,$$,Yes,No,Yes,Yes,Yes,No,Dinner,Beer & Wine Only,Average,Casual,No,No,Yes,http://spaccanapolipizzeria.com,(773) 878-2420,92
43,5OtAmmypXvuTbkFBCziF_Q,Le Colonial,"Le Colonial - Near North Side - Chicago, IL",521,4.0,"Restaurants, Vietnamese, French","937 N Rush St (between Walton St & Oak St) Chicago, IL 60611 Neighborhood: Near North Side",,No,Yes,Valet,Dressy,Yes,$$$,Yes,No,No,Yes,Yes,No,Dinner,Full Bar,Average,"Romantic, Classy",No,No,Yes,http://www.lecolonialchicago.com,(312) 255-0088,60
44,Z2nOMPedr7XYhgYhILJjEA,Piece Brewery and Pizzeria,"Piece Brewery and Pizzeria - Wicker Park - Chicago, IL",1543,4.0,"Restaurants, Pizza, Food, Breweries","1927 W North Ave (between Winchester Ave & Elk Grove Ave) Chicago, IL 60622 Neighborhood: Wicker Park",Mon-Thu 11 am - 1 am Fri 11 am - 1:30 am Sat 11 am - 2:30 am Sun 11 am - 12 am,No,Yes,"Street, Valet",Casual,Yes,$$,Yes,Yes,Yes,Yes,No,Free,Dinner,Full Bar,Loud,Casual,Yes,No,Yes,http://www.piecechicago.com,(773) 772-4422,151
45,3Mx2PM7v8qjqhgF3cDXxbQ,Texas de Brazil,"Texas de Brazil - Near North Side - Chicago, IL",345,4.0,"Restaurants, Brazilian, Steakhouses","51 E Ohio St (between Rush St & Wabash Ave) Chicago, IL 60611 Neighborhood: Near North Side",Mon-Fri 5 pm - 10 pm Sat 4:30 pm - 10 pm Sun 4 pm - 9 pm,No,Yes,Valet,Casual,Yes,$$$,Yes,No,No,Yes,No,No,Dinner,Full Bar,Average,"Romantic, Classy, Trendy, Upscale",No,Yes,Yes,http://www.texasdebrazil.com,(312) 670-1006,66
46,OKOfoisduqP24uK3WYvx7Q,Revolution Brewing Co,"Revolution Brewing Co - Logan Square - Chicago, IL",994,4.0,"Food, Breweries, Restaurants, American (New)","2323 N Milwaukee Ave (between California Ave & Belden Ave) Chicago, IL 60647 Neighborhood: Logan Square",Mon-Sun 11 am - 2 am,No,Yes,Street,Casual,Yes,$$,No,No,Yes,Yes,No,No,Dinner,Full Bar,Loud,"Hipster, Casual",Yes,Yes,Yes,http://revbrew.com/,(773) 227-2739,71
47,sfWMOqUEp8S2adDeJp7Kzg,Carnivale,"Carnivale - Near West Side - Chicago, IL",897,4.0,"Restaurants, Latin American, American (New)","702 W Fulton St (between Union Ave & I-90) Chicago, IL 60661 Neighborhoods: Near West Side, West Loop","Mon-Fri 11:30 am - 2:30 pm Mon-Thu, Sun 5 pm - 10 pm Fri-Sat 5 pm - 11 pm",No,Yes,Valet,Dressy,Yes,$$$,Yes,No,Yes,Yes,Yes,No,Dinner,Full Bar,Loud,Trendy,No,Yes,Yes,http://www.carnivalechicago.com,(312) 850-5005,126
48,GEpXn9rtTMtIj5NsGFiNQw,The Bad Apple,"The Bad Apple - North Center - Chicago, IL",578,4.0,"Nightlife, Bars, Restaurants, Burgers","4300 N Lincoln Ave (between Cullom Ave & Pensacola Ave) Chicago, IL 60618 Neighborhood: North Center","Mon-Wed 4:30 pm - 2 am Thu-Fri, Sun 11:30 am - 2 am Sat 11:30 am - 3 am",No,Yes,Street,Casual,Yes,$$,No,No,Yes,Yes,Yes,Free,Dinner,Full Bar,Average,Casual,Yes,No,Yes,http://www.badapplebar.com,(773) 360-8406,64
